feature,accuracy,precision,recall,f1,var_label,survey,year
cf08a001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2008
cf09b001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2009
cf10c001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2010
cf11d001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2011
cf12e001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2012
cf13f001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2013
cf14g001,0.7852125314054248,0.0,0.0,0.0,Randomly chosen child,Family & Household,2014
cf15h001,0.7852125314054248,0.0,0.0,0.0,Randomly selected child,Family & Household,2015
cf16i001,0.7852125314054248,0.0,0.0,0.0,Randomly selected child,Family & Household,2016
cf17j001,0.7852125314054248,0.0,0.0,0.0,Randomly selected child,Family & Household,2017
cf18k001,0.7852125314054248,0.0,0.0,0.0,Randomly selected child,Family & Household,2018
cf19l001,0.7852125314054248,0.0,0.0,0.0,Randomly selected child,Family & Household,2019
cf20m001,0.7841973029790289,0.0,0.0,0.0,Randomly selected child,Family & Household,2020
cf08a002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2008
cf09b002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2009
cf10c002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2010
cf11d002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2011
cf12e002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2012
cf13f002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2013
cf14g002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly chosen child,Family & Household,2014
cf15h002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2015
cf16i002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2016
cf17j002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2017
cf18k002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2018
cf19l002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2019
cf20m002,0.7852125314054248,0.0,0.0,0.0,Year of birth of randomly selected child,Family & Household,2020
cf08a003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2008
cf09b003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2009
cf10c003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2010
cf11d003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2011
cf12e003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2012
cf13f003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2013
cf14g003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2014
cf15h003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2015
cf16i003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2016
cf17j003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2017
cf18k003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2018
cf19l003,0.7852125314054248,0.0,0.0,0.0,Gender respondent,Family & Household,2019
cf20m003,0.7761216223145158,0.04,0.013953488372093023,0.020689655172413793,Preload variable: Gender respondent,Family & Household,2020
cf08a004,0.7902732912885198,0.5809523809523809,0.07054263565891472,0.12446860799655828,Age respondent,Family & Household,2008
cf09b004,0.7882479618520227,0.6,0.056256921373200444,0.1001872264057138,Age respondent,Family & Household,2009
cf10c004,0.7801466441060348,0.2688888888888889,0.032668881506090805,0.05652680652680653,Age respondent,Family & Household,2010
cf11d004,0.7821771009588268,0.475,0.028128460686600222,0.050811535325899215,Age respondent,Family & Household,2011
cf12e004,0.7791416705122288,0.2,0.023477297895902548,0.042021276595744686,Age respondent,Family & Household,2012
cf13f004,0.7831872019689279,0.5433333333333333,0.06079734219269104,0.09985454483355036,Age respondent,Family & Household,2013
cf14g004,0.7933241039840024,0.5947258297258298,0.13665559246954598,0.21973329765317867,Age respondent,Family & Household,2014
cf15h004,0.798400246115982,0.7880952380952381,0.10387596899224807,0.17990499976214264,Age respondent,Family & Household,2015
cf16i004,0.7963646618468954,0.7827272727272728,0.09889258028792913,0.16995410023924903,Age respondent,Family & Household,2016
cf17j004,0.8014408039788752,0.7475901875901876,0.14640088593576966,0.23903015656074858,Age respondent,Family & Household,2017
cf18k004,0.8004204481361843,0.742857142857143,0.1132890365448505,0.19633853541416568,Age respondent,Family & Household,2018
cf19l004,0.7983848638670973,0.715050505050505,0.1131782945736434,0.1922375633846245,Age respondent,Family & Household,2019
cf20m004,0.7882582166846126,0.5551084487849194,0.23997785160575855,0.32597395007096935,Preload variable: Age respondent,Family & Household,2020
cf08a005,0.781166999948726,0.4533333333333333,0.028128460686600222,0.05155649997842689,What is the year of birth of your father?,Family & Household,2008
cf09b005,0.7852176588217197,0.4833333333333333,0.05193798449612404,0.0931612935029084,What is the year of birth of your father?,Family & Household,2009
cf10c005,0.781156745116136,0.33999999999999997,0.028460686600221486,0.051490436277670325,What is the year of birth of your father?,Family & Household,2010
cf11d005,0.782161718709942,0.35,0.03289036544850498,0.059605817658546625,What is the year of birth of your father?,Family & Household,2011
cf12e005,0.7852074039891299,0.4833333333333333,0.023477297895902548,0.04427817099202337,What is the year of birth of your father?,Family & Household,2012
cf13f005,0.7750705019740554,0.20153846153846153,0.028460686600221486,0.04649043627767032,What is the year of birth of your father?,Family & Household,2013
cf14g005,0.7750653745577604,0.08,0.014285714285714285,0.023895253682487728,What is the year of birth of your father?,Family & Household,2014
cf15h005,0.7781110598369482,0.04,0.009523809523809523,0.015384615384615385,What is the year of birth of your father?,Family & Household,2015
cf16i005,0.7760754755678614,0.10666666666666666,0.014285714285714285,0.024273504273504276,What is the year of birth of your father? We mean your biological father.,Family & Household,2016
cf17j005,0.7781059324206533,0.05454545454545454,0.014285714285714285,0.022641509433962266,What is the year of birth of your father? We mean your biological father.,Family & Household,2017
cf18k005,0.781151617699841,0.0,0.0,0.0,What is the year of birth of your father? We mean your biological father.,Family & Household,2018
cf19l005,0.7791211608470492,0.0,0.0,0.0,Please note: the questions are about your biological father. What is the year of birth of your father?,Family & Household,2019
cf20m005,0.7831820745526329,0.36666666666666664,0.0707641196013289,0.1150604922820192,What is the year of birth of your father?,Family & Household,2020
cf08a006,0.7852125314054248,0.0,0.0,0.0,Can you perhaps indicate the period in which your biological father was born?,Family & Household,2008
cf09b006,0.7852125314054248,0.0,0.0,0.0,Can you perhaps indicate the period in which your biological father was born?,Family & Household,2009
cf10c006,0.7852125314054248,0.0,0.0,0.0,Can you perhaps indicate the period in which your biological father was born?,Family & Household,2010
cf11d006,0.7852125314054248,0.0,0.0,0.0,Can you perhaps indicate the period in which your biological father was born?,Family & Household,2011
